date,open,high,low,close,volume
21/04/2015,81.2342,81.4842,79.7999,80.0628,15925574
22/04/2015,80.2113,80.7128,79.5442,79.6685,12089511
23/04/2015,79.6556,80.3428,78.9556,79.8656,12687283
24/04/2015,80.1728,80.8085,79.5071,79.7706,11045237
27/04/2015,80.2928,81.7856,80.2299,80.8685,15247001
28/04/2015,80.5899,81.2785,79.9442,80.4371,8826475
29/04/2015,80.0699,81.0556,79.6442,80.4071,9540468
30/04/2015,80.2371,80.8356,79.1242,79.4999,10565254
01/05/2015,79.8556,79.9671,78.8942,79.5756,8906086
04/05/2015,79.5713,79.7142,78.8999,79.2713,7967085
05/05/2015,81.2385,82.4428,80.7571,80.7928,27116285
06/05/2015,81.0285,81.2142,79.5213,80.0771,11504507
07/05/2015,80.1142,80.7942,79.4571,80.7485,10220595
08/05/2015,81.0413,82.1528,80.9642,82.0856,13828248
11/05/2015,82.3242,84.8571,82.1856,84.2778,23882383
12/05/2015,83.8085,83.8085,82.9928,83.3771,11906972
13/05/2015,83.4042,84.1971,82.6913,82.8728,11155725
14/05/2015,83.2856,83.9242,82.3299,83.8356,8898659
15/05/2015,86.3642,88.3483,85.7556,87.6071,37053009
18/05/2015,87.5442,88.5341,87.0242,88.2671,14811944
19/05/2015,88.8885,89.7856,87.8099,88.0685,19101306
20/05/2015,88.2142,89.1085,87.3628,88.7899,12757129
21/05/2015,89.0813,89.5713,88.1813,89.0028,12767020
22/05/2015,89.1785,89.4071,88.6928,88.8385,7466039
26/05/2015,88.8742,89.0612,87.7862,87.9928,9645720
27/05/2015,88.1428,89.9071,87.9285,89.8571,10506412
28/05/2015,89.7142,89.8556,88.9299,89.5071,7821541
29/05/2015,89.4728,90.2056,88.9556,89.1513,12712014
01/06/2015,88.8371,89.1216,87.9442,89.0028,9925832
02/06/2015,88.7113,89.6785,88.4056,89.1299,7528927
03/06/2015,89.2428,89.7328,88.6442,88.8085,6237994
04/06/2015,88.3785,89.4285,88.0428,89.3485,10074379
05/06/2015,89.2142,90.5399,89.1256,90.4599,11624347
08/06/2015,90.7142,90.8156,88.9956,89.6042,11148914
09/06/2015,89.3342,92.7142,89.3342,92.4499,22025080
10/06/2015,93.3956,98.9699,93.2256,95.8713,57121379
11/06/2015,96.8899,96.9185,94.087,95.0942,26623387
12/06/2015,94.9156,95.3428,94.1242,94.4185,10278821
15/06/2015,92.8571,93.5913,91.6585,93.4313,19053951
16/06/2015,94.2428,95.607,93.6913,95.2728,16043020
17/06/2015,95.1328,95.1328,93.9573,94.2713,9905119
18/06/2015,94.6513,95.3413,94.3685,94.7428,8963122
19/06/2015,96.2428,96.4178,93.8213,93.8713,19814802
22/06/2015,95.0428,96.6928,94.1885,96.4142,16732905
23/06/2015,96.3356,97.3899,95.7499,97.3128,15626436
24/06/2015,100.0142,100.8913,96.397,96.9442,77138796
25/06/2015,95.4813,95.9999,93.4585,94.8913,41623204
26/06/2015,95.2999,95.3142,93.0885,93.0885,30314697
29/06/2015,91.5056,92.9128,91.1171,92.2313,24575887
30/06/2015,93.357,94.3556,92.7856,93.8485,16880458
01/07/2015,94.8056,95.2385,93.2185,93.6356,14699419
02/07/2015,93.9985,94.1985,93.2142,94.0442,11053231
06/07/2015,93.4728,94.9285,93.3399,94.5713,11808384
07/07/2015,95.0128,95.427,92.6228,94.0913,21573272
08/07/2015,93.4713,93.9956,92.2842,93.507,12990691
09/07/2015,94.8999,95.8456,94.2856,95.727,16731316
10/07/2015,97.5228,98.5027,96.8999,97.2285,21636594
13/07/2015,98.0985,102.3085,98.0787,101.087,33205011
14/07/2015,101.2713,101.6356,99.6528,100.3713,19736437
15/07/2015,99.97,100.75,97.05,98.13,30898594
16/07/2015,111.02,116.49,107.68,115.81,63460992
17/07/2015,117.34,117.88,114.24,114.77,25136948
20/07/2015,114.7,114.7,110.14,110.55,22676913
21/07/2015,110.21,113.71,109.32,112.51,14085422
22/07/2015,112.14,113.88,110.5608,111.5,10500548
23/07/2015,110.91,112.18,109.84,110.1,8306774
24/07/2015,111.55,111.68,108.9,109.34,8125065
27/07/2015,107.79,109.86,106.25,106.43,11302624
28/07/2015,107.29,107.94,103.88,106.9,11155945
29/07/2015,106.83,107.75,105.4,107.08,6695640
30/07/2015,106.4,111.9,105.4,111.56,14229196
31/07/2015,111.95,115,111.15,114.31,16349071
03/08/2015,114.6,114.6,111.78,112.56,10144817
04/08/2015,113.15,122.79,113,121.15,29653323
05/08/2015,125.62,129.29,122.705,123.71,26946486
06/08/2015,126.29,128.85,122.04,126.45,24716746
07/08/2015,126.42,126.6,121.3,123.52,17360669
10/08/2015,126.09,126.5,121.51,123.03,13424574
11/08/2015,120.01,123.76,120,122.74,11596811
12/08/2015,121.47,122.45,118.66,120.51,13881612
13/08/2015,120.99,125.73,119.34,123.73,15284397
14/08/2015,124.96,125,123,123.39,8667683
17/08/2015,123.14,125.7,122.59,125.36,9233848
18/08/2015,125.26,126.749,123.55,124.05,9381994
19/08/2015,123.5,123.7,121.5,122.06,10115271
20/08/2015,119.8,121.45,111.34,112.49,28045318
21/08/2015,106.2,110,102.751,103.96,33228296
24/08/2015,88.75,109.63,85.5,96.88,59951948
25/08/2015,107.75,107.88,101.5,101.52,37620719
26/08/2015,107.15,110.28,102.02,110.13,36164638
27/08/2015,114.94,118.25,113.02,117.66,37056071
28/08/2015,116.46,119.35,115.88,117.63,20240237
31/08/2015,115.24,117,113.76,115.03,17005581
01/09/2015,109.36,111.24,103.82,105.79,35977081
02/09/2015,109.31,109.5,100.3,105.44,39843254
03/09/2015,102.69,104.17,100.11,101.06,29546652
04/09/2015,98.05,99.928,97.34,98.79,24211978
08/09/2015,102.08,102.5,93.55,94.95,43479650
09/09/2015,96.51,102.79,95.52,99.18,35524441
10/09/2015,99.42,100.85,96.78,99.48,21031866
11/09/2015,98.57,100.85,97.23,97.51,17373920
14/09/2015,96.84,97.91,94.33,95.69,15545991
15/09/2015,95.22,99.65,93.61,99.16,22591084
16/09/2015,99.7,104.48,99.33,104.08,28058216
17/09/2015,103.67,107.5,101.83,104.21,25817651
18/09/2015,102,104.36,100.71,102.62,21715034
21/09/2015,103.3,103.77,99.5568,100.3,17900624
22/09/2015,98.29,99.9,97,98.47,16717919
23/09/2015,98.6,99.74,97.66,98.07,10264540
24/09/2015,97.11,104,96.78,103.76,21274471
25/09/2015,105.3,105.4487,101.57,102.24,19066632
28/09/2015,101.57,103.3275,97.8414,99.47,17026639
29/09/2015,99.63,100.63,96.85,98.35,17405941
30/09/2015,99.91,103.46,99.05,103.26,17027579
01/10/2015,102.91,106.11,101.12,105.98,17426948
02/10/2015,103.01,106.87,101.45,106.11,21526717
05/10/2015,107.48,112.28,105.76,111.25,21157937
06/10/2015,110.33,112.25,105.64,108.33,20836303
07/10/2015,108.84,109.78,106.75,108.1,12329535
08/10/2015,107.94,115.05,102.6,114.93,42831944
09/10/2015,114.11,115.83,112.44,113.33,22455205
12/10/2015,114.45,115.42,112.36,113.45,12624497
13/10/2015,112.85,113.72,108.78,109.73,17512118
14/10/2015,111.5,111.63,108.05,110.23,33231481
15/10/2015,103.77,104.88,99.1,101.09,48484328
16/10/2015,100.21,101.65,98.41,98.99,21340511
19/10/2015,98.07,103.62,96.26,101.69,29964714
20/10/2015,101.06,102.11,97.58,98.99,17345614
21/10/2015,99.67,100.34,97.01,97.96,13759583
22/10/2015,98.07,99.93,96.86,97.32,12786768
