ID;Tipo;Dirección;Número;Ubicación;Ciudad;Precio;Habitaciones;Metros_Cuadrados;Planta;Planta_Descripcion;Exterior;Ascensor;Parking;Agencia;Enlace;Descripción
107599581;Piso;Calle Marqués de Casa Valdés; 63-55;Centro - San Lorenzo;Gijón;360000;2;71;;4ª;Exterior;Sí;No;Agencia Alvarez;https://www.idealista.com/inmueble/107599581/;En la PLAYA de San Lorenzo, dos dormitorios, cuarta planta, EXTERIOR, vistas al MAR! Iniciamos comercialización de piso exclusivo con una ubicación única, al lado de la PLAYA de San Lorenzo.   Este inmueble, es ideal para quienes buscan un espacio acogedor y funcional. Ofrece una calidad de vida inigualable en una de
104569645;Dúplex;Calle Casimiro Velasco;21;Centro - Puerto;Gijón;610000;3;173;;4ª;Exterior;Sí;No;Agencia Domingo;https://www.idealista.com/inmueble/104569645/;¡Descubre tu nuevo hogar en el corazón de Gijón! Obra Nueva en pleno centro de Gijón. Iniciamos la comercialización de estos exclusivos inmuebles situados al lado del Paseo de Begoña y a 10 minutos de la Playa San Lorenzo. Disfruta de las ventajas de vivir en el corazón de Gijón, al lado de uno de los parques más gra
105814434;Piso;Marqués De Casa Valdés;28;Centro - San Lorenzo;Gijón;266000;1;62;;5ª;Exterior;Sí;No;Particular / Desconocido;https://www.idealista.com/inmueble/105814434/;A menos de 100m de la playa de San Lorenzo, en el centro neurálgico de la ciudad, y con todos los servicios necesarios en el día a día. Promoción de 10 espectaculares viviendas en el corazón de Gijón de 1, 2, 3 dormitorios y ático. Viviendas luminosas y confortables, calidades exclusivas y diseño vanguardista y funcion
105814370;Ático;Marqués De Casa Valdés;28;Centro - San Lorenzo;Gijón;733000;2;196;;5ª;Exterior;Sí;No;Particular / Desconocido;https://www.idealista.com/inmueble/105814370/;A menos de 100m de la playa de San Lorenzo, en el centro neurálgico de la ciudad, y con todos los servicios necesarios en el día a día. Promoción de 10 espectaculares viviendas en el corazón de Gijón de 1, 2, 3 dormitorios y ático con una terraza privada de 60m2. Viviendas luminosas y confortables, calidades exclusivas
108350356;Piso;Calle Linares Rivas;s/n;Centro - Puerto;Gijón;298000;2;94;;3ª;Exterior;Sí;No;Agencia Asturias;https://www.idealista.com/inmueble/108350356/;Piso muy especial en el centro de Gijón. Magnífica oportunidad de disfrutar de una propiedad diferente a las demás en el barrio del Carmen. Techos altos, muy luminoso y soleado. Amplio recibidor y estancias de muy buen tamaño. Sus huecos exteriores tienen las vistas a Marqués de San Esteban. Actualmente tiene un solo b
110118325;Piso;Calle Marqués de San Esteban;s/n;Centro - Puerto;Gijón;460000;2;91;;3ª;Exterior;Sí;No;La Finca Servicios Inmobiliarios;https://www.idealista.com/inmueble/110118325/;Piso en PLAYA DE PONIENTE, con 91 m² construidos, 70 m² útiles, 2 dormitorios, 1 baños, 1 aseos, buen estado, exterior, planta 3, 1 armarios, cocina independiente, trastero, ascensor, amueblado, más de 30 años, 9 plantas del edificio, calefacción individual, combustible gas natural, gastos de comunidad/mes de 70 €, acc
108994323;Piso;Avenida de Portugal;s/n;Laviada;Gijón;330000;4;114;;7ª;Exterior;Sí;Sí;DoCasa;https://www.idealista.com/inmueble/108994323/;¡Descubre tu nuevo hogar a solo 5 minutos de la hermosa playa de Poniente! Este amplio piso, ubicado en una privilegiada zona cercana a la plaza del Humedal, te ofrece todo lo que necesitas para disfrutar de la vida. Con 4 amplias habitaciones y 2 baños, este espacio es perfecto para familias o para quienes buscan como
109012314;Piso;Avenida de Portugal;s/n;Laviada;Gijón;330000;4;125;;7ª;Exterior;Sí;Sí;La Finca Servicios Inmobiliarios;https://www.idealista.com/inmueble/109012314/;Piso en LAVIADA, con 125 m² construidos, 95 m² útiles, 4 dormitorios, 2 baños, 1 garaje/s, buen estado, exterior, planta 7, cocina independiente, ascensor, orientación sureste, calefacción central, combustible gas natural, gastos de comunidad/mes de 150 €, suelo de tarima, cuota ibi: 444,74€. La Finca Inmobiliaria pone
109926605;Piso;Calle Alarcón;s/n;Centro - San Lorenzo;Gijón;228000;3;81;;3ª;Exterior;Sí;No;DISTRITO ESTE, Inmobiliaria & Ingeniería;https://www.idealista.com/inmueble/109926605/;La inmobiliaria Distrito Este te ofrece en exclusiva esta vivienda ubicada en el barrio de La Arena, a escasos minutos del centro de Gijón y de la Playa de San Lorenzo. Se trata de una 3ª planta exterior con una superficie de 81 m2 distribuidos en: salón-comedor, cocina, tres habitaciones y un baño completo. La vivie
109903334;Piso;Calle Marqués de Casa Valdés;s/n;Centro - San Lorenzo;Gijón;299800;3;91;;1ª;Exterior;No;No;DISTRITO ESTE, Inmobiliaria & Ingeniería;https://www.idealista.com/inmueble/109903334/;La inmobiliaria Distrito Este presenta en exclusiva este acogedor hogar, totalmente reformado con estilo y pensado para ofrecerte comodidad en tu día a día. Ubicado en una zona privilegiada, tendrás a mano todo lo que necesitas: supermercados, zonas de ocio, servicios y, por supuesto, la Playa de San Lorenzo a pocos pa
